thread_count,gsm,tensile_strength,shrinkage_percent,color_fastness,fabric_thickness,defect_count,elongation_percent,moisture_absorption,fabric_type,weave_type,finish_type,production_method,batch_id,roll_number,inspection_time_minutes,warehouse_id,operator_name,inspection_shift,machine_temperature,humidity_level,inspection_notes,fabric_quality
250,137,85.77296779,6.154543643,1,1.455768441,6,7.534448883,3.504232216,linen,satin,dyed,powerloom,945976,2351,5.457454425,WH-B,Priya,Morning,21.49507201,51.88961494,Looks fine,Medium
273,96,45.46819156,8.140142812,2,0.675780773,1,6.963798957,11.67021517,polyester,plain,dyed,handloom,827529,3472,38.87119307,WH-C,Priya,Morning,35.80776563,36.17143352,Approved,Medium
315,256,113.512419,9.142498749,2,1.290947201,3,23.25646824,6.832130408,silk,twill,dyed,handloom,546137,3106,12.09005621,WH-A,Priya,Evening,31.76863389,61.95830218,Approved,High
,111,86.19112399,4.678854513,3,0.81844591,6,31.94144684,11.81448048,silk,satin,dyed,powerloom,882921,2961,17.57660179,WH-A,Suresh,,42.47892421,33.01766628,Approved,High
,,53.20019689,1.153428244,2,1.35071054,11,17.72452338,4.646494935,silk,twill,raw,handloom,478385,2599,58.31891855,WH-C,Priya,Evening,25.5451672,30.25043296,Looks fine,Low
230,345,51.66472411,6.844536921,5,0.850325498,14,33.66988954,3.795751586,wool,satin,printed,handloom,743747,4247,53.44850637,WH-B,Ramesh,Morning,34.69134381,39.97846856,OK,Low
260,200,62.04853194,8.617079471,5,0.525884782,1,16.29814632,13.83841638,cotton,satin,dyed,powerloom,230417,3705,29.26888331,WH-B,Suresh,Night,37.77728646,88.5289581,Looks fine,High
113,348,112.6505331,2.900617852,5,0.600392275,2,11.88703134,8.785076129,polyester,plain,raw,handloom,429277,1051,24.32689062,WH-B,Priya,Evening,35.16616546,45.87467426,Minor issue,High
,396,56.18136616,2.250206404,2,0.157731751,14,24.91097267,4.634699778,silk,plain,raw,powerloom,613881,110,31.57927895,WH-A,Anita,Morning,23.99031581,68.30385809,OK,Low
158,274,119.3422062,7.983226108,1,0.197503614,10,8.122496511,11.9437968,silk,plain,dyed,handloom,471311,2518,36.2759988,WH-C,Suresh,Night,25.51745392,45.54974417,OK,Low
113,394,93.04102455,1.684896892,2,0.750809877,9,24.56810169,5.446784541,cotton,satin,printed,handloom,538525,1908,18.37468303,WH-B,Ramesh,Morning,41.96995963,77.95579605,Looks fine,Medium
81,233,31.07632215,1.474678209,5,1.09238953,9,33.73778359,8.96410378,polyester,twill,printed,powerloom,811701,674,32.79334153,WH-B,Suresh,,23.27152644,30.9186273,OK,Medium
152,127,106.813835,4.725679373,5,1.11828903,3,8.286600579,14.92157552,cotton,plain,raw,handloom,716541,2909,26.12455135,WH-A,Suresh,Night,44.98029296,75.88420688,OK,High
100,310,46.89875816,6.921469102,3,1.121625467,12,18.98662419,14.74734303,silk,satin,raw,powerloom,826135,2606,10.74766696,WH-A,Ramesh,Night,25.51531918,83.02158536,Approved,Low
212,151,19.72641325,,1,1.31000729,11,7.378721367,4.329666378,linen,twill,raw,handloom,718472,1317,33.49624119,WH-A,Priya,Evening,42.32695846,65.2087806,Recheck,Low
261,105,61.23955778,4.702714378,5,0.985006504,1,38.75584269,3.496420016,cotton,satin,raw,powerloom,410649,4683,43.91016282,WH-A,John,Morning,26.00950663,42.43079387,Recheck,High
218,96,94.96625726,7.550392233,2,1.331230309,4,19.931454,7.761564587,wool,plain,printed,powerloom,861065,2520,20.19320007,WH-A,Priya,Morning,33.67871766,43.23198237,Approved,Medium
178,188,65.39295104,1.274682086,3,1.298416334,2,28.13229467,9.468066255,cotton,satin,raw,handloom,562139,1090,35.9077483,WH-A,Ramesh,Morning,33.32561696,49.28225393,Minor issue,High
197,338,38.6986791,8.353856128,1,0.765820296,9,11.31140065,6.866499823,wool,twill,printed,powerloom,452695,1777,10.73204022,WH-B,Ramesh,Night,27.05094353,64.39739143,Approved,Low
126,104,74.48870585,3.394976149,5,0.505539735,14,34.46804167,12.91229895,linen,satin,printed,powerloom,704894,2359,27.54733103,WH-A,Suresh,Evening,30.95388917,56.45468826,Recheck,Low
234,286,52.87879467,7.977041669,3,0.613950078,11,37.01453584,7.64272,cotton,twill,dyed,powerloom,413172,3392,51.47465714,WH-A,Suresh,Morning,22.12259348,59.52978922,Looks fine,Low
,373,66.994562,7.052244587,2,0.213720492,1,9.213789571,13.59477042,wool,satin,dyed,powerloom,542487,3895,57.84354015,WH-B,Suresh,Evening,38.71024846,63.4433752,Looks fine,High
161,213,59.79341445,7.226837665,3,0.319018233,12,19.89730154,8.653383776,polyester,twill,dyed,powerloom,817998,3584,18.7567663,WH-B,Ramesh,Morning,23.47638605,63.4595855,Minor issue,Low
184,235,31.9109717,4.503374835,2,0.800844189,7,24.87889973,12.55325707,silk,satin,raw,powerloom,135959,964,40.40801644,WH-B,Ramesh,Night,28.54592069,89.39866531,Approved,Low
342,201,81.50740898,,4,0.456574988,13,9.303025,9.962547761,wool,satin,printed,powerloom,189762,306,44.9610218,WH-C,Ramesh,Evening,25.03843797,86.06112408,OK,Low
275,297,100.2525136,1.707432637,4,0.881504351,1,36.79334797,3.846827798,wool,plain,raw,powerloom,804695,4462,44.04379668,WH-B,Suresh,Evening,22.09937435,57.05888671,OK,High
164,222,114.6484137,8.908584168,4,0.945563726,11,7.247881133,5.715352031,cotton,satin,printed,handloom,145380,1124,18.83459297,WH-C,Ramesh,Morning,30.70624139,76.30283855,Recheck,Low
,193,109.6593153,4.007284583,4,0.184503388,12,22.72612364,5.335895788,cotton,satin,raw,handloom,911760,3606,39.42218276,WH-C,John,Morning,38.6513952,79.43010205,Recheck,Medium
220,175,87.75698268,7.74884523,1,0.873530184,13,37.80045112,10.61674562,linen,twill,printed,powerloom,648425,4646,28.79691821,WH-A,Priya,Morning,28.42454762,48.26346087,Looks fine,Low
,195,100.1147305,5.831461673,2,1.167125979,4,5.796801949,10.775541,wool,satin,raw,handloom,962092,1504,15.1558314,WH-C,Anita,Evening,25.49778218,58.50638318,Looks fine,High
245,179,98.06463856,2.891823254,2,0.422000363,1,38.04654064,9.992776132,polyester,satin,raw,handloom,437951,4366,48.0740493,WH-A,Anita,Morning,23.61828532,46.61960658,Recheck,High
303,148,84.41495393,5.553039887,3,0.973105617,0,30.7110665,4.516616845,linen,satin,printed,handloom,463767,2179,56.03473634,WH-C,Anita,Morning,39.32205363,81.0725024,Minor issue,High
317,308,74.5694848,3.908944937,2,0.726028613,6,35.27991285,5.079206281,linen,plain,dyed,handloom,521883,909,38.19804302,WH-C,John,Night,44.82536622,74.24126583,Looks fine,High
186,216,116.9031548,2.911356814,4,0.759495292,2,14.43337709,9.436241991,cotton,plain,printed,handloom,978364,1682,15.88889753,WH-B,Anita,,30.14695503,58.18316274,Looks fine,High
299,91,100.5153569,9.746194072,2,1.335377962,10,30.23528948,4.171210813,linen,plain,raw,powerloom,366670,362,49.9342973,WH-A,Anita,Morning,24.94119067,63.3266868,Minor issue,Low
221,315,98.047148,0.869701775,3,0.658311962,0,34.51526025,3.320243506,cotton,twill,printed,powerloom,839589,4415,18.82241228,WH-A,Suresh,Evening,30.44578657,44.87612762,OK,High
155,194,61.62720063,,1,1.267502426,14,25.55225658,9.232426029,wool,satin,raw,handloom,270640,1170,29.95304819,WH-B,Ramesh,,21.40991554,74.16718663,Looks fine,Low
253,117,75.11009288,1.837241269,4,0.552727255,4,14.32939597,13.60197231,wool,plain,dyed,powerloom,723789,4627,37.183465,WH-B,Ramesh,Evening,20.85131809,30.12270345,Approved,High
159,141,87.20410461,5.747723028,3,1.089297474,14,31.74021218,9.228816829,linen,plain,raw,handloom,798413,1590,10.31776385,WH-C,Suresh,Night,43.72531323,66.52452687,Looks fine,Low
,,92.2315421,,4,1.28471349,14,17.80210702,5.360213674,silk,twill,dyed,handloom,593021,2515,6.377955599,WH-A,Anita,Night,27.9918119,33.28978088,Recheck,Low
187,172,78.99196837,2.493435157,1,0.446842901,1,13.45791739,3.260303249,cotton,satin,dyed,handloom,955767,2387,9.775758137,WH-A,Anita,Evening,43.16740727,77.67752706,Minor issue,High
113,323,59.85463466,7.316162762,3,1.114787053,2,23.14723758,14.33154322,silk,twill,printed,powerloom,295882,553,12.45460898,WH-B,John,Morning,22.71567646,46.79897933,Looks fine,High
198,198,21.42667105,5.024025691,1,0.846411388,14,35.8480251,13.54965186,cotton,,dyed,handloom,898840,848,34.37269782,WH-A,Anita,Night,38.96429776,39.32344298,Looks fine,Low
304,182,86.24010406,1.611093308,3,0.172686264,5,19.305911,7.610814493,polyester,,printed,powerloom,338127,3491,41.40616674,WH-A,John,Evening,42.33475254,30.42625856,Minor issue,High
323,267,47.04634339,0.61341753,2,1.367715154,14,24.63832785,3.07870964,silk,plain,printed,powerloom,930932,664,27.36121728,WH-C,Anita,Evening,43.58262693,56.96470562,Looks fine,Low
81,323,49.01884883,8.889066871,5,0.793658887,1,18.0337806,7.226935046,linen,plain,raw,handloom,944011,1862,40.4441555,WH-C,Anita,Morning,23.03421126,43.22680343,Looks fine,High
82,93,84.40381299,2.160653169,3,0.408978252,4,13.48269896,8.955918211,polyester,twill,raw,handloom,964748,3670,5.808942979,WH-B,Suresh,Morning,34.58484235,62.083875,OK,High
119,277,91.77262544,9.534260804,5,1.469817112,13,17.43655344,3.671363334,silk,satin,raw,handloom,505314,4113,57.02687328,WH-A,John,Evening,33.86958727,66.43268281,Approved,Low
213,214,118.1389028,4.915202367,1,0.315649311,5,8.924208818,6.876376758,cotton,twill,raw,handloom,332753,2949,11.9475066,WH-C,Priya,Evening,40.04828148,86.79573662,Recheck,High
186,94,50.18657025,,2,1.219674006,6,6.804651851,3.961137823,silk,satin,printed,powerloom,228040,2949,59.98938146,WH-B,John,Night,44.16430137,50.30872444,Recheck,Low
314,341,51.97927434,6.305554432,4,0.652319552,1,10.20376235,13.15608101,wool,plain,raw,powerloom,654552,3912,16.36509586,WH-B,John,Morning,22.61452259,71.24449676,Looks fine,High
291,346,111.1886882,,4,0.374005422,2,25.96061638,10.57563874,cotton,satin,dyed,handloom,917577,797,59.09368768,WH-A,John,Night,34.80346376,71.53514025,Approved,High
194,,29.37735903,9.459053229,5,1.34764023,5,11.08269282,12.04768154,linen,twill,printed,handloom,683815,3347,31.76118396,WH-A,Suresh,Morning,35.71580084,75.33362136,Minor issue,Low
347,335,100.044561,5.776312501,3,1.387643236,5,8.615137844,10.7731373,silk,plain,dyed,powerloom,333339,1503,5.276441795,WH-B,Suresh,Morning,20.30598122,78.42516654,Looks fine,High
244,238,83.28589481,3.719060482,2,0.283509852,8,27.17294883,12.84119385,,satin,dyed,powerloom,132882,2354,13.85049404,WH-A,Anita,Night,27.0804134,66.39741479,Recheck,Medium
278,136,30.79182247,6.533659746,4,1.110925531,8,18.68107372,14.67207741,wool,plain,raw,handloom,864961,2045,5.874919707,WH-A,Suresh,Night,37.77872397,30.28787032,Recheck,Low
238,183,53.70770991,2.017626934,4,0.383622111,1,6.513928082,14.94368147,silk,satin,raw,handloom,596798,4528,29.28613536,WH-A,Ramesh,Evening,31.43051545,73.44030405,OK,High
284,254,78.97531442,6.090746767,2,0.647439466,6,13.97189535,11.5671941,linen,twill,raw,powerloom,715186,2140,56.06506804,WH-B,John,Morning,35.92377085,69.85429384,Recheck,Medium
,223,53.27711201,1.297254605,4,0.812346945,8,11.11585645,3.479147109,wool,twill,printed,handloom,478517,3812,33.54175152,WH-C,Ramesh,Morning,42.14752618,33.37090232,Approved,Medium
284,93,94.70785555,5.693121309,5,1.17811335,10,10.3974356,12.29439813,silk,plain,dyed,handloom,569809,4862,42.79859346,WH-A,Ramesh,Night,30.06512501,81.74110377,OK,Medium
223,188,53.59175558,5.192999714,3,0.516943346,0,30.07764396,14.48809026,silk,twill,dyed,powerloom,357828,3308,50.13733894,WH-A,Anita,Night,43.55031704,43.86388181,Minor issue,High
282,355,79.01868184,7.402386028,4,1.149266598,5,34.36928854,9.775183163,cotton,plain,raw,powerloom,360621,3082,12.83066318,WH-C,Ramesh,Evening,44.99021435,80.84707179,OK,High
154,336,37.80218979,0.658706101,5,0.804003734,14,15.7029654,5.425799531,silk,twill,dyed,powerloom,164275,2776,22.21114847,WH-C,Suresh,Evening,29.24408893,75.24750535,Approved,Low
337,384,31.94743891,6.979494598,5,0.723387906,8,32.393472,10.97979054,linen,twill,dyed,handloom,170239,4209,48.20474506,WH-C,Priya,Night,40.36006968,70.8823918,Minor issue,Medium
223,170,38.33099339,1.432198778,1,1.498701088,14,18.70999699,14.46678914,silk,plain,dyed,handloom,595918,4782,12.32924731,WH-A,John,Evening,23.06840524,36.88409528,Approved,Low
128,188,92.01062049,4.816363448,4,0.758387466,3,5.858861651,7.184905775,silk,twill,dyed,powerloom,647962,704,36.04706521,WH-A,Ramesh,Morning,28.56441979,60.33482226,Looks fine,High
274,105,90.46956501,8.15076862,5,0.286157472,1,32.19736312,6.233797964,silk,plain,dyed,handloom,639489,4082,38.47801124,WH-C,Ramesh,Night,27.14168785,60.44879442,Recheck,High
296,326,94.56576267,6.327217276,4,0.638132992,12,34.30067457,12.82349485,wool,plain,dyed,handloom,924437,3071,19.30390703,WH-C,Suresh,Morning,41.6750121,36.50541926,Recheck,Medium
333,,15.2049299,8.395368293,1,0.94943504,9,34.03208458,3.622722153,linen,satin,dyed,powerloom,268738,2932,20.03996514,WH-A,Suresh,Evening,35.32437119,75.88402908,Approved,Low
158,318,100.3834086,6.244462175,3,1.393653427,10,39.33011012,8.207005505,linen,plain,raw,handloom,269503,2332,5.786446872,WH-B,Anita,Night,30.13620348,76.17918557,Minor issue,Medium
147,143,,5.945722157,2,0.259190758,4,34.50222216,9.908588227,silk,,printed,handloom,317659,2469,30.04275138,WH-B,Anita,Night,29.77536828,62.46797734,Approved,High
161,262,57.0339804,9.17480676,4,1.165624999,1,25.45371678,7.901141722,silk,plain,printed,powerloom,201107,1739,24.94012578,WH-B,Anita,Night,44.5177558,62.61146697,Looks fine,High
345,119,79.28998579,2.475916165,5,1.155700429,2,31.21161226,8.302774668,wool,twill,raw,handloom,787905,3274,37.91811055,WH-B,Ramesh,Night,42.11483957,54.94742814,Recheck,High
328,210,29.30597884,6.575613339,4,1.311350676,2,18.6297837,9.824012032,polyester,twill,raw,handloom,470111,1898,10.88707501,WH-A,Priya,Morning,23.98027692,71.47154091,Approved,Medium
314,105,19.51869148,1.315936194,4,0.200690984,8,37.15036214,7.651822867,linen,satin,dyed,handloom,108373,930,56.43551775,WH-C,Suresh,Evening,34.15200426,30.10172318,Recheck,Medium
340,233,32.49043891,2.835552656,1,0.184148021,14,22.5852055,14.20742865,polyester,twill,dyed,handloom,874168,3376,46.96987511,WH-B,Priya,Night,24.91807974,89.08142067,Minor issue,Low
294,148,102.1178539,2.356629463,3,0.30732758,7,7.092619239,7.739169419,silk,plain,printed,handloom,594442,862,5.938031471,WH-B,Ramesh,Evening,32.2383863,60.29045521,Approved,High
335,102,98.61049264,9.427144394,1,1.223737152,1,38.47055924,9.964667799,wool,twill,dyed,handloom,906440,1802,44.53242855,WH-B,Suresh,Evening,31.91775977,32.1756159,Minor issue,High
159,184,67.30380279,2.690501942,3,0.448660558,0,25.77574275,4.681004546,silk,satin,raw,powerloom,152133,3945,47.76295142,WH-A,Priya,Morning,37.38869367,42.76872612,OK,High
99,181,112.8828442,1.464817245,3,1.317199345,13,8.307657778,3.387571639,polyester,twill,raw,powerloom,384017,3063,31.68631942,WH-A,Ramesh,Morning,38.22091749,84.57983803,OK,Medium
186,124,100.6838063,2.844883862,5,1.065748176,6,9.234607953,8.408791317,linen,plain,printed,powerloom,176239,1595,14.33922311,WH-C,Ramesh,Evening,22.40421697,67.77663481,Recheck,High
195,289,47.29528512,7.68274613,1,0.477754916,12,27.42570491,6.922466586,wool,plain,dyed,handloom,481201,715,57.15202793,WH-B,Suresh,Evening,29.01309126,55.12262986,OK,Low
218,243,103.9570717,3.171516936,1,0.649849217,2,18.78793053,8.744582785,polyester,satin,dyed,powerloom,798326,1060,5.051066595,WH-C,Ramesh,Morning,22.26603292,64.11832678,Looks fine,High
285,109,54.15274326,8.565117108,3,1.100752289,2,26.64866516,6.114477234,wool,satin,raw,handloom,995136,3884,23.41366121,WH-C,Priya,Morning,43.95326805,75.33866913,Approved,Medium
253,259,116.0534072,7.699565601,4,0.561949486,11,15.23229444,10.65474589,wool,plain,dyed,powerloom,444879,3679,18.95898662,WH-C,Suresh,Night,36.80987279,76.99329535,Recheck,Medium
271,347,58.41268654,6.146228718,1,1.324406065,8,6.293924407,10.60763022,,plain,printed,powerloom,328981,3583,21.20654953,WH-A,Ramesh,Evening,26.38098189,50.90189478,Recheck,Low
203,264,96.02852772,0.701081453,1,0.423108231,4,29.52825087,3.323514138,silk,plain,dyed,powerloom,686692,1123,53.34243157,WH-B,Suresh,Morning,27.82096664,42.61894136,Approved,High
128,184,38.54985618,0.821472601,2,0.279842956,2,38.61562681,4.986638465,silk,twill,dyed,powerloom,889020,3700,23.5462874,WH-C,Priya,Evening,33.45516597,79.36379113,Recheck,High
207,274,34.55657488,8.243243189,5,1.290040525,3,5.170872094,3.787935461,polyester,satin,printed,powerloom,795370,354,6.179251488,WH-C,Anita,Morning,30.30098592,60.78723284,Approved,Medium
241,247,70.82268053,2.696910771,3,1.327765913,8,7.699183088,14.22480069,wool,twill,printed,powerloom,764885,4095,15.97291323,WH-B,John,Night,39.24574313,48.86436191,Recheck,Medium
92,390,115.4050892,5.572360702,1,0.595682272,11,9.466345043,13.61301806,cotton,twill,dyed,powerloom,200495,4401,42.03772948,WH-C,Anita,Night,33.07115237,65.19583217,OK,Low
87,116,99.5331461,8.102522169,4,0.686571853,14,20.10247206,5.547524129,,satin,dyed,handloom,160977,4868,48.14814159,WH-B,Anita,Morning,41.06988494,74.74849522,Looks fine,Low
330,277,70.21929358,1.037240924,1,1.178615891,5,24.43311595,14.27265034,silk,twill,printed,powerloom,238772,2902,40.77304873,WH-A,Ramesh,Evening,35.44346767,51.51912942,OK,High
185,98,64.69433573,4.52310282,4,0.987129852,7,23.3052774,8.062592411,cotton,satin,raw,handloom,570734,2137,41.6559049,WH-C,Priya,Morning,32.49404634,49.58619484,Approved,Medium
,102,64.21154014,4.363949012,5,0.28485182,4,26.47818701,10.82230053,linen,plain,printed,powerloom,638362,2630,45.89238256,WH-C,John,Evening,26.48357061,86.70957874,Approved,High
272,391,116.8807507,8.26770819,3,0.252427306,14,27.33949133,13.90347634,silk,plain,printed,powerloom,374762,3414,34.81969551,WH-A,Priya,Evening,21.75496535,43.29632358,OK,Low
134,270,94.61682158,2.015115585,5,1.265434593,4,30.52999337,14.18673905,linen,plain,printed,powerloom,820094,4665,18.63794205,WH-C,Suresh,Morning,40.10951318,52.0901559,Looks fine,High
155,167,27.66003656,0.817765825,4,1.190662763,6,14.31050541,9.023468531,silk,twill,dyed,handloom,805399,237,9.490757547,WH-C,Suresh,Morning,35.97110573,33.65711558,Minor issue,Medium
87,141,43.76134119,8.218612141,3,1.010623212,13,21.39608949,6.609930057,linen,satin,dyed,powerloom,980602,924,36.36060329,WH-C,Ramesh,Night,37.47773275,51.98999538,Approved,Low
142,177,45.19421606,2.789041292,5,0.842098636,7,6.449954399,3.584795655,silk,,raw,powerloom,908966,3354,44.1446183,WH-A,John,Evening,27.76545048,87.56650151,Minor issue,Medium
276,181,100.3255699,4.842212392,5,1.18958963,4,30.95097206,13.58266573,polyester,satin,raw,handloom,591803,2829,34.17453527,WH-B,John,Night,31.47905073,39.56016763,Approved,High
316,,63.52506995,6.576552078,1,0.741783171,6,37.40644691,9.812665275,wool,satin,raw,handloom,947919,1304,39.71200577,WH-A,John,Evening,24.96306555,58.98294241,Looks fine,Medium
104,323,79.14279471,0.523369601,2,0.16942061,5,10.1036471,14.91002971,cotton,twill,dyed,powerloom,219133,4420,9.581245553,WH-A,Priya,Morning,24.09075475,51.73966294,Approved,High
204,248,38.20615385,2.309399799,4,0.48567957,1,29.13452658,11.48580055,wool,twill,raw,handloom,624309,4328,14.5723795,WH-C,Ramesh,Morning,33.91826825,55.12056759,Approved,High
347,267,26.80464801,9.875471348,1,1.243336025,0,29.9398333,6.221023562,polyester,plain,printed,handloom,642985,2683,13.73184181,WH-C,Priya,Morning,22.91482507,34.4352232,OK,Medium
191,294,55.65919271,2.55911566,4,0.964079876,6,10.34099682,13.82154657,wool,twill,raw,handloom,949457,3466,7.452878719,WH-C,Suresh,Night,31.34572962,82.40061882,Approved,Medium
117,284,36.90061322,7.20579398,4,1.455981881,3,30.16639203,7.026016681,polyester,twill,printed,handloom,754045,2618,51.66351306,WH-B,Anita,Morning,22.90179973,82.1502951,Looks fine,Medium
234,399,90.70018498,4.789966473,5,1.220922281,10,13.45477414,14.36984914,linen,twill,dyed,powerloom,819449,2164,15.58372593,WH-B,John,Night,27.2908346,61.72669803,Approved,Medium
282,160,106.7149109,7.034046021,3,0.87801776,5,32.93944538,9.448446123,polyester,twill,dyed,powerloom,391592,4619,5.383246467,WH-B,Ramesh,Morning,20.61849713,33.63010807,Looks fine,High
